word,rank,frequency
noches,684,2311
dejado,685,2309
buscar,686,2303
rosa,687,2296
dejando,688,2296
expresión,689,2289
veinte,690,2286
baile,691,2285
conocer,692,2285
alta,693,2281
muchacho,694,2281
tenemos,695,2280
merced,696,2279
esperar,697,2275
aires,698,2272
distancia,699,2268
ay,700,2267
primeros,701,2266
tía,702,2255
acto,703,2254
interés,704,2247
mucha,705,2244
habrá,706,2237
ocasión,707,2235
miradas,708,2229
pena,709,2227
ninguno,710,2226
pueden,711,2222
gobernador,712,2221
conocía,713,2217
replicó,714,2213
debo,715,2211
seguir,716,2210
empezó,717,2209
ventana,718,2206
tantas,719,2205
plata,720,2195
mamá,721,2192
estuvo,722,2191
sentido,723,2188
suyo,724,2186
aspecto,725,2177
negros,726,2177
porvenir,727,2175
hablaba,728,2170
viva,729,2168
costumbre,730,2167
anciano,731,2163
cambio,732,2163
completamente,733,2162
imaginación,734,2160
cayó,735,2160
belleza,736,2155
bella,737,2151
recibir,738,2150
larga,739,2147
dirección,740,2146
mirando,741,2140
grupo,742,2140
darle,743,2132
profundo,744,2130
perfectamente,745,2128
buenas,746,2124
estamos,747,2123
hacienda,748,2107
hacen,749,2100
miró,750,2099
compañía,751,2097
mismos,752,2094
pasa,753,2094
clase,754,2093
entrada,755,2091
tales,756,2083
derecha,757,2083
andar,758,2083
extremo,759,2079
detrás,760,2078
podían,761,2077
pobres,762,2076
hicieron,763,2076
amiga,764,2071
dejaba,765,2070
época,766,2070
acercó,767,2069
virtud,768,2066
ángel,769,2066
real,770,2060
quizá,771,2055
negocio,772,2055
sorpresa,773,2054
temor,774,2045
estás,775,2042
baja,776,2041
respeto,777,2038
destino,778,2038
salón,779,2035
árboles,780,2035
gritos,781,2031
murmuró,782,2030
pareció,783,2024
igual,784,2022
grave,785,2018
enfermo,786,2007
cuál,787,2003
importa,788,2001
prueba,789,2000
ido,790,1999
centro,791,1997
azul,792,1995
compañeros,793,1991
par,794,1979
claro,795,1978
presente,796,1974
pequeña,797,1971
encuentro,798,1969
minutos,799,1968
detuvo,800,1964
inmediatamente,801,1960
matrimonio,802,1959
busca,803,1955
varios,804,1951
sentimientos,805,1951
asiento,806,1947
encontrar,807,1946
dicen,808,1941
gracia,809,1940
visita,810,1937
dama,811,1937
dueño,812,1936
pueda,813,1931
remedio,814,1929
suya,815,1928
siento,816,1926
extraño,817,1926
alegre,818,1924
coche,819,1924
miraba,820,1916
ven,821,1914
pequeño,822,1913
viento,823,1913
comer,824,1908
